Related List Label,API Name,Custom Related List
Attachments,Attachments,
Products,Products,
Emails,Emails,
Notes,Notes,
Campaigns,Campaigns,
Invited Meetings,Invited_Events,
Social,Social,
CheckLists,CheckLists,
Tasks,Tasks,
Events,Events,
Calls,Calls,
Tasks History,Tasks_History,
Events History,Events_History,
Calls History,Calls_History,
Locking Information,Locking_Information__s,
ChronologicalView,Activities_Chronological_View,
ChronologicalView History,Activities_Chronological_View_History,
Cadences,Entity_Cadences_leads,
Connected Records,Connected_Records__s,
Connected Record Child1,Connected_Record_Child1,
Connected Record Child2,Connected_Record_Child2,
Connected Record Child3,Connected_Record_Child3,
Connected Record Child4,Connected_Record_Child4,
Connected Record Child5,Connected_Record_Child5,
Connected Record Child6,Connected_Record_Child6,
Connected Record Child7,Connected_Record_Child7,
Connected Record Child8,Connected_Record_Child8,
Connected Record Child9,Connected_Record_Child9,
Connected Record Child10,Connected_Record_Child10,
Connected Record Child11,Connected_Record_Child11,
Connected Record Child12,Connected_Record_Child12,
Zoho Support,Zoho_Support,
Zoho Survey,Zoho_Survey,
Visits - Zoho Livedesk,Visits_Zoho_Livedesk,
Products1,Products11,✓
